cleaned_description,50.72 section
"During the performance of shifting Main Control Room Ventilation from the A to B train the B Chiller breaker mechanism/charging motor was continuously and repeatedly cycling, resulting in the failure of the breaker. During the shifting of VC, the NLO called the MCR to inform us of a breaker giving off a cycling noise, NLO reported that the VC B chiller breaker was the source of the noise and was directed to shut down the VC B Chiller. Soon after the MCR received NSPS trouble and a Div 2 DC Ground. VC B was completely shut down by the MCR RO. NLO reported smoke coming from VC B chiller breaker cubicle. The WEC SRO, SM, and extra RO (incident commander) left the MCR to investigate the VC B breaker problem. Soon after arriving at 480V Unit Sub B, 0AP06E, it was apparent that the VC B chiller breaker needed to be immediately de-energized due to excessive smoke but no flame. After discussing actions that were needed to terminate the breaker failure, the field personnel de-energized 0AP06E by depressing that Unit Sub remote trip pushbutton. The VC B Chiller breaker was then racked out. After evaluating plant and Unit Sub conditions, the Unit Sub was then re-energized to support plant systems restoration. All associated EOPs and Off-Normals were entered and performed. The Fire Brigade was activated and responded by removing the VC B Chiller breaker from the Unit Sub cubicle and spraying down the breaker with Halon and water, and removing smoke from the area. The following is the MCR log entry: 19:56 - EO reports that VC B Chiller Breaker was cycling open and closed. Several indications on the horizontal panel on 5052 were cycling as indicated by lights going on and off. 19:57 - 5002-5N NSPS in trouble (loss of Synch). 20:02 - Smoke reported in Unit Sub B. Stationed Andy Siegmund as IA. 20:03 - 5003--5M in with local trip of 480V Unit Sub B after the trip the 1IA006 and 1IA007 went closed. Entered Loss of AC Off Normal and Automatic Isolations Off Normal. Due to VC B Breaker cycling on 480V Unit Sub B declared VC B Inop and Unavailable entered LCO Actions. The following equipment lost power while the Unit Sub B was de-energized: Div 2 Inverter Room Cooler. Div 4 Inverter Room Cooler. 20:05 - Field re-energizes Unit Sub B, Plant Risk was Yellow during the 2 minutes that Unit Sub B was de-energized. Called away Fire Brigade. 20:07 - Bus voltages on Unit Sub B were verified within bands and with the breaker for the VC B Chiller removed. 20:08 - Started A Fire Pump per CPS 1893.04. 20:08 - Entered EOP-8 due to Secondary Containment pressure above 0 psid. 20:09 - Re-opened 1IA006/7. 20:11 - Started VG A to restore Secondary Containment d/p per CPS 3319.01 Step 8.2.1. 20:13 - Secondary Containment d/p restored exit LCO 3.6.4.1 Action A.1. 20:33 - Completed Shutdown of VR/VQ per CPS 3408.01 Step 8.1.3. 20:37 - Performed step 8.1.1.1.3 of CPS 3408.01 (per procedure enter this time in the logs). 20:38 - Restarted VR/VQ per CPS 3408.01. 20:46 - Started VC A Ventilation train. 21:15 - Placed VF in Shutdown Lineup and reset VF Isolation per CPS 3404.01 Section 8.3. 21:25 - Reopened 1SA030 Service air Containment Isolation. 22:13 - Received ECCS Floor Drain Hi Leak Rate alarm 5064-7C. 22:15 - Received call from Security that there was water on the floor in the RHR C room and that there was an active leak. Evaluated entering The Flooding Off Normal. 22:18 - C Area operator reports that the SX relief valve off of the RHR C room cooler is lifting and overflowing the funnel. 22:22 - Secured SX Pump B, SX relief valve reseated, during the time that the SX Pump B HS was in PTL Div 2 SX is INOPERABLE. 22:45 - Momentarily placed Div 1 and Div 2 Containment HVAC Isolation Valve Radiation Interlock Bypass switches in TOTAL BYPASS one switch at a time.. 1RIX-PR001A/C (B/D), 1RIX-PR042A/C (B/D), 1RIX-PR006A/C (B/D) were momentarily bypassed and inoperable. 22:48 - Shutdown VG A and restarted VF. 22:53 - Placed 0RIX-PR008 in Standby per CPS 3315.03 Section 8.14. 23:19 - ECCS Floor Drain Hi Leak Rate alarm 5064-7C has reset.","['50.72(b)(3)(v)(C)', '50.72(b)(3)(v)(D)']"
"During performance of 9431.17, (AVERAGE POWER RANGE MONITOR FLOW BIASED/NEUTRON FLUX RESPONSE TIME TEST) a test cable connector contacted fuse block staple jumper in back of 1H13-P672, causing transfer of Division 4 NSPS bus to reserve feed. Technicians had already disconnected the field connectors from the LPRMs (step 8.1.3) and had run the test cables from the front of P674 through to the rear of panel. Technicians were connecting test box cable connectors to LPRM jacks (step 8.1.4) when one connector fell from technician's hand, striking metal staple jumper on fuse block below. This fuse block was identified during the initial two-minute drill (prior to starting work) and protective plastic was placed over the fuses to mitigate hazards, however it did not cover the very end of the staple jumper surface on the near end of the fuse block. Technicians had walked around to front of panel to check indications, when Operations notified them of plant condition. All work was immediately stopped and IMD Supervision was notified. Fuses were visually inspected to find all of the blown fuse indicators were NOT indicating blown fuse.",[]
"Notified that both air lock doors on U1 RB 710' elevation between Chemistry Hot Lab and the RB were momentarily open at the same time. At the time of the occurrence, no movement of irradiated fuel, core alts, or OPDRV's were in progress. Secondary Containment D/P remained in the green band before, during, and after the occurrence. Doors are closed and secure and are being administratively controlled.",['50.72(b)(3)(v)(C)']
At 0756 on 3/7/2013 received reactor scram due to generator trip. Initiated investigation as to cause of trip.,['50.72(b)(2)(iv)(B)']
"During Q1R22 RPV Pressure Leak Test at the end of the outage, a 20 dpm leak was identified in the Class 2 portion of the RPV Head Vent Line 1-0215-2""-B. The leak is located at the 90 degree elbow at the junction of the vertical section of pipe from above the insulation package and the horizontal section of pipe going to the last 90 degree elbow before the pipe exists through the DW Bulkhead. The leakage is coming thru-wall in the socket weld of the 90 degree elbow to the horizontal section of the pipe.",['50.72(b)(3)(ii)(A)']
"At approximately 1325 on 4/18/2013, while attempting to raise Unit 1 Reactor level with LPCS system, LPCS Injection Valve 1E21-F005 failed to open as required when the associated control switch was held in the ""OPEN"" position. The ""OPEN"" position light bulb was replaced (4 times) and control switch was held in the ""OPEN"" position sufficiently long enough to cause the valve to open. There were no changes in indicated pump flow and ""CLOSED"" position indication light did not flicker, indicating that the valve did not attempt to move. The ""LPCS INJ VLV LO RX PRESS PERMISSIVE"" alarm was activated. An Equipment Operator was dispatched to 1H13-P629 panel to check status of low pressure injection permissive relays K8 and K20. The Equipment Operator reported both relays energized with all contact ""fingers"" properly aligned and making physical contact. Refer to 1E-1-4221AB, 1E-1-4221AD and 1E-1-4221AE.",['50.72(b)(3)(v)(D)']
"Operations personnel were attempting to dewater the Main Condenser East water box per LOP-CW-10, in conjunction with placement of C/O 64222. This was being done to support plugging of a suspected tube leak. The East water box had been isolated by electrically closing the 2CW007A and 2CW007C valves earlier in the day. An Operations supervisor and 2 EO's were attempting to torque the 2CW007A East water box valve into its seat to improve the isolation, using a torque sheet provided by Programs Engineering. The operators were also using match marks on the MOV actuator as a gage to determine if the valve was optimally in the seat. While torquing the 2CW007A valve closed, the EO's felt the wrench pop as the valve position indicator neared the closed match mark, and then noted the pointer move slightly past the mark. The operators stopped all valve work at that point. The supervisor was going to the East water box upper manway to check isolation status when he noted water starting to come out of the manway from apparent leakage past the 2CW007A valve. The Main Control Room and the OCC were immediately notified and asked for assistance. The supervisor was able to access the East water box upper manway and get it closed. He then proceeded to the East outlet water box and close the manway at that end of the condenser. Water from the manway leakage accumulated on the condenser pit floor to a high enough depth to trip the running U2 CW pumps. The Control Room manually scrammed U2 when the CW pumps tripped.",['50.72(b)(2)(iv)(B)']
"During performance on ST-2-092-323-2 relay 127Z-11702 reset value was out of acceptable value. During the recalibration of the relay, the 45-minute time limit established in the test was approaching and operations racked out the 201 breaker on the D23 bus. The relay was recalibrated within acceptable limits and the test was reperformed and was completed satisfactorily. Operations was notified of satisfactory completion of the test.",['50.72(b)(3)(v)(D)']
During breaker maintenance (LES-GM-103) on the 1C RHR pump it was noticed that the 1A DG cooling water pump had auto started. An investigation into the auto start is being conducted at this time. It appears that this issue may be related to the MOC/TOC switch in the 1C RHR BKR cubicle.,['50.72(b)(3)(iv)(A)']
"The Division 3 Diesel Ventilation System Supply Air Damper 1VD01YC did not open as expected during Division 3 VD fan start. System Managers and CMO personnel observed the supply damper and associated hydramotor, 1TZD003A, during the fan start. The hydramotor moved approximately one inch in the open direction but did not move the damper. After a few minutes of operation, the damper blades did open (approximately 10 to 20% open). When the fan was secured, the hydramotor closed the damper with a smooth motion. The damper control is designed to modulate the damper to maintain supply air temperature at a setpoint of 70 degrees. The damper should open on fan start if supply air temperature is greater than 70 degrees. The hydramotor receives a 4 to 20 milliamp signal from temperature controller 1TICVD003. At the time of fan start, Fan Room temperature was 81 degrees at the supply air sensor. The 1TICVD003 was set to 70 degrees and was reading 84 degrees. Therefore the damper should have opened on fan start. Additionally, CMO personnel observed that normally the damper fully opens on fan start and then modulates as needed. The hydramotor/damper assembly is fail-closed. In the judgment of the personnel observing the equipment, the three possible causes are: The hydramotor is not exerting the appropriate force to move the damper, the hydramotor is not receiving the correct signal from the controller, or the linkage is bound. The lowest linkage bar does appear to rub the hydramotor gearbox coupling when fully shut and may be adding resistance to the opening motion.",['50.72(b)(3)(v)(D)']
"Received unit 2 Reactor enclosure low d/p alarm. When alarm was received, d/p was -.18"" and already recovering. d/p immediately stabilized to a normal -.33"". Suspect two doors of the same airlock may have been opened simultaneously. HVAC was walked down and all equipment is operating sat. This is now reportable.",['50.72(b)(3)(v)(C)']
"The FP FASA team identified a potential noncompliance with the Safe Shutdown Analysis for a fire outside the DG rooms (fire zone CB-1e, CB-1f, CB-2 and CB-4). The CO2 panels for each DG train are all located in the same area outside the DG engine bay rooms (737 Control) and a fire in this area could cause fire damage to all three CO2 panels and/or wiring such that a trip (short) could be initiated to all three VD fans. Loss of the VD fans (1VD01CA, B and C) results in loss of cooling in the DG rooms and ultimately loss of the diesels. The availability of offsite power to the 4kv switchgear has not been analyzed for its availability in this fire area. The Fire Safe Shutdown Analysis (IP-M-0532) resolution codes 21 and 22 for this scenario directs operators to take manual control of the fans from the main control room and bypass the CO2 trip. This same language is also present in USAR Appendix F section 3.3.1.5 and IP-M-0471 Attachment 9. However, review of the associate ventilation fan and CO2 control schematics (E02-1VD99 sheets 1, 2, 3, 7, 8 and E02-1CO99 sheets 6, 7, 8) indicate that once the CO2 system actuates the VD fan is tripped (if running) and blocked from restarting with the trip/block signals remaining in place until manually reset at the local CO2 control panels (1CO05JA, B and C). Consequently, the MCR control switch cannot bypass the CO2 trip signal rendering all three DG units unavailable. Based on the FASA review, this issue appears to be a historical/legacy issue. Some variation does exist within each divisional VD fan control logic as follows: - 1VD01CA: Division 1 Diesel Generator 1A room vent fan: The standing CO2 trip signal can be bypassed through the remote shutdown panel allowing restart of the cooling fan. However, there is currently no procedural guidance to perform this action. - 1VD01CB: Division 2 Diesel Generator 1B room vent fan: The standing CO2 trip signal has no external bypass mechanism. In order to restart the Division 2 fan, the CO2 standing trip must be reset at the local panel (1CO05JB) or the trip removed via lifted lead in order to restore fan operation. - 1VD01CC: Division 3 Diesel Generator 1C room vent fan: The standing CO2 trip signal can be bypassed with the MCR fan start control switch. However, the switch is a spring return to auto that will result in the fan stopping if released. Continuous fan operation would require a dedicated operator or some other mechanism to maintain the switch in the close position. - 1H13-P839 fuse F3 (H/F1) provides power to the CO2 trip initiation logic relays that cause loss of all 3 divisional VD fans. Removal of the fuse will clear the trip/block interlocks allowing manual restart of the VD fans from the MCR. However, there is currently no procedural guidance to perform this action. (ref drawings E02-1VD99 sheet 7 and E02-1LV99 sheet 6) The FASA also identified incorrect and insufficient guidance for VD fan restoration in the event of fire induced circuit damage involving the DG CO2 protection system. CPS procedure 1893.04 (Appendix C steps 3.9 and 3.10) states to take manual control of the fans from the MCR per CPS procedure 3403.01. Review of 3403.01 section 8.8 (CO2 Initiation) simply states that ""when the CO2 initiation signal clears, start VD per section 8.1."" While it is true that VD can be started after the CO2 initiation signal is cleared, there is no guidance as to how this can be performed or accomplished.",['50.72(b)(3)(ii)(B)']
"During startup of Reactor from 1M30, the unit experienced an elevation of off gas line flow starting at 0700. Vacuum started to degrade at approx 1030. During that span of time, Operators completed 625.4.002 section 18 for the Speed Governor Operability satisfactory and had started 625.4.001 for Turbine Overspeed. The test was paused due AVR response in step 6.6.5. Operations entered ABN 14 Loss of Condenser Vacuum at 1050. Once ABN 14 was entered, additional SJAE sets were placed in service until all 6 jet sets were in service. Power was lowered with Recirc Flow than Inserting control rods. At 1110, the turbine was manually tripped and ABN 10 was entered. At 1130, manual scram was initiated and ABN 1 was entered.",['50.72(b)(2)(iv)(B)']
"An employee entered the secondary containment interlock via door 225 (710 Chem lab to U-1 RB) and while in the airlock while door 225 was closing, another employee opened the other secondary containment interlock door thereby having two doors open. Both doors in the interlock were open for approximately 10 seconds.",['50.72(b)(3)(v)(C)']
"UNEXPECTED ALARM 902-4 E-19, RX/TURB 517 INTLK DOORS INOP/BYP. Actions Taken: GCA reported that the RB side of the door was opened and the TB side came open several inches and then re-closed. AT 08:42 Entered and Exited T.S. 3.6.4.1 A.1 NLO was contacted to investigate. The doors had alarmed and reset in less than 1 second. Both interlock doors were verified operating normally and one door was closed at all times the NLO was in attendance. GCA now in attendance operating the doors for employees to traverse the area.",['50.72(b)(3)(v)(C)']
"The volumetric examination of the RC-P-1B 2 inch diameter drain line elbow to pipe weld was performed under work order C2029343 activity 3. Reference drawing: 1D-ISI-RC-002 A UT indication was recorded on the pipe side at Top Dead Center of the weld, and IR 1580462 was generated. Subsequent weld prep was performed to remove the weld crown and additional UT characterization was then done. Review of pre-service Radiographs from a 1995 pipe repair showed significant weld geometry on the pipe inside diameter. Past UT data (2001 and 2009) recorded geometry indications in the same area as the current indication. Encoded phased array was utilized on the drain line for confirmation of the indication. The phased area examination showed the indication was not geometric in appearance and the indication was subsequently declared a flaw. The flaw is 50% through wall and extends circumferentially fro 0.8 inches. The flaw is ID connected initiating on the pipe side of the weld and extends into the weld.",[]
During the performance of DOS 7000-26 LLRT of the 2-220-62B the leak rate was above the acceptance criteria of 45.0 scfh. The leak rate was unmeasurable from the test box as the leak rate was too high for the system to pressurize. Air was observed blowing from the test vent valves.,['50.72(b)(3)(ii)(A)']
"Received 2PM06J-A109, AEER HVAC Pnl 0PA10J trouble alarm.",['50.72(b)(3)(v)(D)']
"During the Reactor Vessel System Leakage Test (Hydro), a leak was identified on the 2-0203-3C ERV. The leak is located at the ERV main body to the pilot valve connecting line joint. The leak is approximately 1 drop per second. This is a code boundary leak.",[]
"Shift Manager was notified at 1400 that the leakage identified on ERV 2-0203-3C (IR 1590050) during the RPV pressure test was code boundary leakage from an ERV that was not replaced during D2R23. This ERV did have its pilot valve replaced during D2R23. This boundary leakage meets the reportability requirements of SAF 1.4, Degraded or Unanalyzed Condition, and is reportable within 8 hours. The licensee shall notify the NRC Operations Center the leakage identified via the ENS as soon as practical and in all cases within eight hours of the occurrence of any event or condition that results in the condition of the nuclear power plant, including its principal safety barriers, being seriously degraded; or the nuclear power plant being in an unanalyzed condition that significantly degrades plant safety.",[]
"On 11/28/13, at 0258 the Unit 2 902-4 F-19, the X-Area interlock door alarmed. Operations sent an equipment operator into the field to investigate, he found a Radiation Protection Technician and laborers in the area removing lead blankets from the room. He notified the RPT that the control room received an alarm for secondary containment, the RPT told the laborers to close the doors that they had opened. The initial investigation found that a Radiation Protection Technician (RPT) had opened both interlock doors at the U2 X-Area while he and laborers were removing lead blankets from the room. Secondary containment had been reestablished the night before, so in opening both doors at the same time, secondary containment was breached.",['50.72(b)(3)(v)(C)']
During DOS 2300-07 FAST START testing of U2 HPCI the turbine stop valve failed to fully open when initiation signal was given.,['50.72(b)(3)(v)(D)']
"A scheduled load reduction for quarterly surveillances and control rod sequence exchange was in progress on LAS Unit 2. The CMSS (3D Monicore) ""case"" after completion of the first set of three control rod sequence exchanges showed that all APRM readings met the TS SR to verify calculated CTP and APRM readings agree within 2%. After the second set of three control rod sequence exchanges, thermal limits and APRMs were again evaluated by the Shift. It was discovered that all 3 A RPS Average Power Range Monitors (APRMs) exceeded their TS SR for 2% difference between calculated CTP and APRM readings in the non-conservative direction (difference of 2.9, 3.1, and 2.5% respectively). The TS allows a 2 hour delay in entering the Conditions and Required actions for APRM channel inoperability for this situation (i.e. no RA timeclocks were entered). A confirmatory ""case"" was performed that validated that the subject SR was not met. TS requires at least 2 operable APRM channels per trip system (there are 2 RPS trip systems, A and B). At least 1 of 2 TS required APRM channels are required to maintain the Safety Function (i.e. SCRAM). Prompt action was taken to restore the APRM indications to within limits (this action took approximately 22 minutes to complete) and the subject APRMs were declared operable, restoring the A RPS Safety Function.",['50.72(b)(3)(v)(A)']
"The MCR received multiple alarms due to a trip of 4160V 1A1 breaker 1AP07EJ, 480V XFMR 1A and A1 breaker. Area operators were dispatched to investigate trip of breaker. Many Division 1 components lost power (powered from unit subs 1A and A1). Noted containment IA valves had lost power and were closed. Commenced monitoring for scram pilot air header pressure low alarm and potential for control rods to drift due to loss of air. The MCR received scram pilot air header pressure low alarm, 5003-3L. The MCR placed the Reactor Mode Switch in Shutdown.",['50.72(b)(2)(iv)(B)']
"17:58 -- Placed the mode switch in shutdown due to approaching Reactor Water Level 8 while bringing on TDRFP A in automatic mode; stationed the Incident Assessor. 17:58 -- Entered EOP 1 on Reactor Water Level 3. 17:59 -- Manually tripped turbine generator. GCB 4506 and 4510 tripped as expected. 18:00 -- Reactor water level band Level 3 to Level 8 per 4411.03. Reactor pressure band 800-1065 psig per 4411.09 18:02 -- Minimized cool down loads per 4100.01 Scram off-normal. 18:09 -- Constellation Power team has been notified of Clinton Power Station's shutdown. Switching order to re-establish the ring bus obtained from Ameren Dispatch. 18:13 -- Closed inboard Main Steam Isolation valves to maintain cool down rate within limits. 18:15 -- Opened main steam drain valves for pressure control. 18:16 -- Started ""A"" condenser vacuum pump 0CA01PA to maintain condenser vacuum. 18:26 -- Reactor water level out of band high due to rising reactor water level. 1FW004 was shut, RT letdown to condenser previously established and RD is injecting. 18:29 -- 1B21F065A is shut. 18:31 -- 1B21F065B is shut. 18:33 -- Locally shut 1C11-F034 per 3304.01, section 8.3.9.1.1 to stop rising reactor water level trend. 18:55 -- Division 1 and Division 2 leak detection switches in BYPASS. ITS actions tracked by a separate log entry. 19:03 -- Opened 1B21F065A for 5 seconds. 19:09 -- Opened 1FW024 to feed with CD/CB pumps through 1FW004 in automatic. 20:00 -- Reactor water level band 30-39 inches narrow range to support resetting reactor scram signal.",['50.72(b)(2)(iv)(B)']
"19:56 - Main Control Room received Annunciators 5042-4D and 5042-5D. Discovered the Supply Fan1VF03CA was tripped and Exhaust Fan 1VF04CA was running with fuel building d/p reading +.5 in/water and Secondary Containment d/p reading 0 in/water. Entered EOP-8. After several seconds the Exhaust Fan 1VF04CA tripped at which time Exhaust Fan 1VF04CB started and ran for several seconds before tripping. Secondary Containment is Inoperable and Unavailable for Maintenance Rule VG-05 due to secondary containment differential pressure greater than -0.25 inches of water. Entered the following LCO Action: - Restore secondary containment to an operable status in 4 hours. 19:58 - Main Control Room team noticed Inbd Exh Isol Damper 1VF07Y going from intermediate to open. MCR team trended computer point VF-BC804 and at time 19:56 1VF07Y indicated closed and at time 19:58 indicated Not closed. 19:59 - Area operator reports to panel informs MCR all fans are tripped or not running. 20:03 - Fuel Building ventilation restored, Fuel Building d/p and Secondary Containment d/p restored to normal values. Exited LCO Action. 20:13 - Exited EOP-8 The trip of VF occurred while starting up Control Room ventilation train 'B' specifically when starting Control Room Supply Fan 0VC03CB.",['50.72(b)(3)(v)(C)']
Door 507 does not close and latch properly. Door 507 is located on Unit 2 710 elevation and is one of the two doors in the air lock between the Unit 2 DG Corridor to the Unit 2 Reactor Building.,['50.72(b)(3)(v)(C)']
"U1 received an unexpected Unit 1 Fuel Pool channel ""B"" HI alarm. Rad monitor on the 901-10 panel was indicating approximately 50 mr/hr. RP reports that local radiation readings on the refuel floor near the 1B Refuel floor radiation monitor are normal at .2 mr/hr.",['50.72(b)(3)(v)(C)']
"With reactor power at 85% steady state at about 19:00 the MCR team noticed OG flow lowering and condenser vacuum lowering and condensate temperature rising. Entered the Loss of Vacuum off-normal and commenced an emergency power reduction when vacuum lowered to 27.4 ""hg. While reducing power the MCR team dispatched operators to check the possible causes listed in the off-normal including filling the B SJAE intercondenser loop seal and to start swapping to SJAE A. When vacuum degraded to 24"" hg and lowering the CRS directed a rapid plant shutdown as directed in the off-normal. Power was about 46% when the rapid plant shutdown was commenced.",['50.72(b)(2)(iv)(B)']
"Main Control Received Alarm 902-4 E-21, U2/3 DIESEL GEN INTLK DOORS INOP/BYP. Alarm was received at 01:51:17 and cleared at 01:51:22. An EO notified the MCR that both the 2/3 EDG side and Reactor Building side interlock doors were open at the same time. The EO reports he was in the Rx Bldg heading towards the 2/3 EDG Interlock. When he depressed the button to open the Rx Bldg side interlock door, the Rx Bldg side interlock door started to open. At the same time, maintenance personnel pushed the 2/3 EDG diesel side interlock opening button and the door started opening causing both interlock doors to be open at the same time. The EO immediately closed the 2/3 Rx Bldg side Interlock door. The lights that indicate a door is open were not lit when the open buttons were pushed. Suspect possible failure of the interlocking mechanism on the 2/3 EDG door that prevents both doors from opening at the same time.",['50.72(b)(3)(v)(C)']
Rounds Operator identified excessive D/P across Division 3 Switchgear Room door. The Field Supervisor was contacted and it was determined that either the temperature controller or a damper had failed. Supply fan D/P on1PDI-VD14 was upscale and switchgear room door D/P was increasing. Balancing damper 1VD18Y was also full closed. With concurrence from the control room and shift manager 1VD18Y acuator was disconnected and the damper locked open.,['50.72(b)(3)(v)(D)']
