content,subsections
"On June 07, 2021, Unit 2 was operating at approximately 100% power. At 1527, a fault occurred in Unit 2 Main Transformer Number 1 (2MT1) which resulted in a generator lockout relay automatic trip of the Unit 2 Main Turbine and reactor. Arcing between the ""B"" phase high voltage bushing and adjacent components on the top of the main transformer ignited the remaining bushing dielectric material and bushing oil. Automatic fire suppression was initiated and the fire was extinguished in 19 minutes. Entry into the Emergency Plan was not required. Operators responded to the event in accordance with approved procedures and safely placed the plant in Mode 3. The cause of this event was failure of the 2MT1 ""B"" phase high voltage bushing. The cause of the 2MT1 ""B"" phase high voltage bushing failure has not yet been determined. A failure analysis on the bushing is being performed. Results of the failure analysis will be provided in a supplemental report. Other corrective actions include repair or replacement of the damaged 2MT1 transformer components, post-work electrical diagnostic testing, oil sample testing, and an extent of condition review. All times are in Central Daylight Time (CDT).",['10 CFR 50.73(a)(2)(iv)(A)']
"The event occurred on October 29, 2020 while Peach Bottom Unit 2 was performing Class 1 system leakage test following a shutdown for refueling outage P2R23. Leakage was identified from a 2-inch Reactor Pressure Vessel (RPV) instrumentation nozzle (N-16A) during the test at a location where no leakage was found during the initial shutdown inspections. The leakage amount was identified as light seepage and visual examination revealed a surface crack at the 6 o'clock position on the interior RPV-instrument nozzle interface where the nozzle penetrates the vessel wall. Prior to de-pressurizing, an extent of condition bare metal examination was conducted on other instrument nozzles. No leakage was identified from any other instrument nozzles. Although the exact cause is unknown, phased array UT examination recorded a radial flaw in the N-16A J-Groove weld. A half nozzle repair was completed, consisting of replacing the outer portion of the existing nozzle with a new nozzle that was welded to the outside of the RPV. The reactor maintained shutdown until the pipe repairs and testing were completed. The safety significance of this event was minimal given the leakage was very small and was found while the reactor was shut down. Given the impact on the RPV boundary, this report is submitted. On November 6, 2020, verbal approval for relief request 15R-14 regarding alternate repair of instrument penetration nozzle N-16A on the reactor vessel was received via email from J. Tobin (U.S. Nuclear Regulatory Commission) to D. Helker (Exelon Generating Company, LLC.) reference ADAMS: ML20314A028.",['10 CFR 50.73(a)(2)(ii)(A)']
On 9/23/2024 failure of the Main Generator Field Circuit Breaker (41M-2EXSX01) [EXC] lead to a Generator Field Loss of Excitation [TL]. This resulted in a Main Generator Lockout which caused a Turbine Trip [TA] and automatic anticipatory RPS actuation [JC] at 07:20. High resistance across Main Generator Field Circuit Breaker (41M-2EXSX01) caused a large voltage drop across the breaker main contacts. The Auto Voltage Regulator (AVR) [90] control system responded to the lower excitation through the feedback and increased output to compensate. The increased output resulted in increased voltage drop  heat at the contacts  a subsequent fire  and Loss of Field Excitation. The resulting Turbine Trip and Turbine Stop and Control Valve closure caused an automatic anticipatory RPS actuation.,['10 CFR 50.73(a)(2)(iv)(A)']
"On May 2, 2015, the Monticello Nuclear Generating Plant (MNGP) was in Mode 5 for a refueling outage. During performance of surveillances of the non-credited 4kV essential Bus, MNGP experienced a loss of the 4kV Bus and essential Load Center due to an improperly landed jumper wire. Loss of the Load Center de-energized the valve position indication on the Residual Heat Removal (RHR) shutdown cooling inboard isolation valve, causing a subsequent trip of the RHR pump operating in shutdown cooling on a pump suction interlock and a loss of normal shutdown cooling. Control Room operators entered the appropriate abnormal procedures and verified alternate decay heat removal was in service until shutdown cooling could be restored. Immediate corrective actions included suspension of all work pending approval of the shift manager to ensure outage activities did not further degrade plant conditions and electrical work was limited to protect shutdown cooling. The essential Load Centers were cross-tied to restore normal shutdown cooling. Corrective actions include revising procedures to reinforce human performance tools, adequately assess risk involved with electrical work, and ensuring effective barriers are in place to harden residual heat removal function during shutdown conditions.",['10 CFR 50.73(a)(2)(v)(B)']
"At 1250 on October 21  2011  at the Monticello Nuclear Generating Plant  a 2R Auxiliary Transformer lockout unexpectedly occurred causing off-site power to automatically transfer to the 1R Auxiliary Transformer  which resulted in a reactor scram. One cable of the ""A"" phase conductor  supplying power from 2RS to 2R Transformer  faulted to ground  resulting in the 3N4 breaker opening  as designed  to protect 2RS Transformer and other equipment from fault current damage. Subsequent testing indicates the cable suffered from environmental and age-related degradation. Implementation efforts to replace the cables between 2R Transformer and 2RS Transformer were in progress at the time of the event. A portion of the new raceway was under construction. The cables were replaced entirely employing a route designed to avoid cable submergence in water. Subsequent to installation  cables were successfully tested and returned to service.","['10 CFR 50.73(a)(2)(iv)(A)', '10 CFR 50.73(a)(2)(v)(D)']"
"On June 5, 2018, the Unit 1 ""B"" Reactor Steam Dome Pressure - Low permissive pressure switch Microswitch 2 (SW2) was found outside of the Technical Specification (TS) 3.3.5.1 allowable value during testing. Subsequently, on June 6, 2018, the Unit 2 ""C"" Reactor Steam Dome Pressure - Low permissive pressure switch SW2 was found outside of the TS 3.3.5.1 allowable value during testing. Both drifted outside of the lower allowable value which is intended to ensure that the Emergency Core Cooling System (ECCS) injection prevents the fuel peak cladding temperature from exceeding the limits. Based on the information available, the condition existed for longer than allowed by Units 1 and 2, TS 3.3.5.1 and TS 3.5.1. As such, this is a condition prohibited by TS and is being reported. This is also considered a common cause inoperability of independent trains or channels, a condition that could have prevented fulfillment of a safety function, and a single cause that could have prevented fulfillment of safety functions of trains or channels in different systems. The cause was determined to be instrument setpoint drift due to temperature/humidity changes and mechanical hysteresis as a result of the original design inputs.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(D)', '10 CFR 50.73(a)(2)(vii)', '10 CFR 50.73(a)(2)(ix)(A)']"
On August 22  2018  at 0943 Eastern Daylight Time (EDT)  the Watts Bar Nuclear Plant (WBN) Unit 2 reactor automatically tripped while operating at 100 percent power when operators changed the turbine control system from Operator Auto to Turbine Manual. All control and shutdown bank rods inserted properly in response to the reactor trip. All safety systems including the Auxiliary Feedwater (AFW) System actuated as expected. The reactor automatically tripped with a follow-on turbine trip in response to throttle valve closure. Throttle valve closure was caused by a turbine control system throttle valve manual up/down (U/D) counter card failure. The card failure resulted in the closure of throttle valves which caused an initiation of a reactor trip with a follow-on turbine trip. Initial corrective actions included replacing the failed card. The main turbine analog electro-hydraulic (AEH) control system is scheduled to be replaced with a modern fault tolerant digital turbine control system. Installation is scheduled for the Unit 2 Cycle 2 refueling outage in April 2019. This event is being reported as an automatic actuation of the Reactor Protection System (RPS) and the AFW system.,['10 CFR 50.73(a)(2)(iv)(A)']
On July 7  2011 a reportable condition was determined to have existed at Calvert Cliffs Nuclear Power Plant. On March 11  2009 during scheduled testing at an offsite testing facility the as- found lift setting for pressurizer safety valve serial number BS03213 was measured higher than the Technical Specification allowable value. However test results were submitted to Calvert Cliffs stating that the as-found test was successful. The valve had been installed in Unit 2 at the 2RV201 location (Unit 2 pressurizer safety valve) and was removed during the 2009 Unit 2 refueling outage for scheduled testing and maintenance. No material conditions were found that contributed to the high setpoint discovered during the test. The apparent cause is a greater than expected setpoint variation. The currently installed valves are operable. The corrective action is to increase the Technical Specification setpoint tolerance. A similar event is documented in Licensee Event Report 317/2010-002. The cause for that event was setpoint variation.,['10 CFR 50.73(a)(2)(i)(B)']
"On February 9, 2021, Reactor Building differential pressure (d/p) became unstable and exceeded the Technical Specifications limit of -0.25 inches of water gauge (wg) resulting in Secondary Containment being declared inoperable. Two causal factors were identified for this event. The first being that Reactor Building d/p controller 'A' has not been tuned to quickly respond to changing environmental conditions. The second factor is that there were no interim actions in place to bridge the gap identified in previous events. Reactor Building d/p controller 'A' was optimally tuned. Follow up troubleshooting showed the as-left settings of the controller would be capable of maintaining Reactor Building d/p within limits when exposed to similar barometric pressure fluctuations. There was no impact on nuclear safety, plant reliability, radiological safety, or industrial safety. Event Notification 55098 was submitted on February 9, 2021, due to the unplanned inoperability of Secondary Containment.","['10 CFR 50.73(a)(2)(v)(C)', '10 CFR 50.73(a)(2)(v)(D)']"
"On May 29, 2019 at 2210 hours, during Security Force on Force Practice Drills, both doors in the Secondary Containment (SC) air lock on the reactor building first floor were opened simultaneously for a period of approximately two seconds. During the drill exercise, the Controller failed to maintain the access control measures at the outer air lock door which resulted in additional drill personnel accessing through the door. The condition resulted in Technical Specification (TS) Surveillance Requirement (SR) 3.6.4.1.3 not being met. The doors were secured immediately. SC pressure during that time remained unchanged and within TS limits. There were no radiological releases associated with this event.",['10 CFR 50.73(a)(2)(v)(C)']
"On July 1, 2020, the motor thermal overloads associated with the 2A Core Spray Room Cooler Fan were found tripped during a surveillance test. The breaker was not tripped and was found still in the ""on"" position. Operators reset the thermal overloads, which restarted the room cooler fans without resetting the breaker. The thermal overloads were replaced on July 2, 2020. After a recurrent trip on July 6, 2020, troubleshooting determined that mechanical binding within the motor sporadically increased the running current, which tripped the thermal overloads. An engineering evaluation later determined that the non-functional Core Spray Room Cooler Fan rendered the Loop I Core Spray subsystem inoperable from May 29, 2020 until July 12, 2020, which is longer than allowed by Technical Specification (TS) 3.5.1, ""Emergency Core Cooling Systems (ECCS) -- Operating"". On June 13, 2020 a planned surveillance rendered the Loop II Core Spray System inoperable. This resulted in a period of time with both Loops I and II of the Core Spray System concurrently inoperable resulting in a Safety System Functional Failure (SSFF) of systems that are needed to mitigate the consequences of an accident. As a corrective action, the motor, thermal overloads, temperature switch, and starter coil were replaced. As a corrective action to prevent recurrence, BFN is creating a new Preventative Maintenance (PM) to measure the motor current readings to the thermal overloads every two years, during the summer months when the fan is in high use. This will detect possible changes in continuous running current prior to overcurrent trips or motor damage.","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(D)']"
On January 6  2014  the 33 Steam Generator (SG) steam flow (SF) Feedwater flow (FF) mismatch and SG level control deviation alarms annuniciated. Operators noticed the selected feedwater (FW) flow (FF) channel at zero and swapped to the alternate channel and noted both FW flow channels at zero. With the 33 SG level at approximately 10% and lowering  operators started actions to initiate a manual reactor trip (RT) when an automatic RT occurred on a SF/FF mismatch coincident with low 33 SG level. All control rods fully inserted and all required safety systems functioned properly with the exception of the intermediate range excore neutron flux detector N-35 which was undercompensated. The plant was stabilized in hot standby with decay heat being removed by the main condenser {SG}. The Auxiliary Feedwater System automatically started as expected due to SG low level from shrink effect. The Emergency Diesel Generators did not start as offsite power remained available and stable. Investigations determined the decreasing SG levels was due to reduced main FW flow as a result of a closed 33 Feedwater Regulating Valve (FRV). The closure of the 33 FRV-437 was due to no output from flow controller FC-437. The apparent cause was station personnel failed to apply lateral thinking and teamwork and question what other options were available besides procuring an identical controller. Corrective actions included replacing FC-437 and FC- 417. A project to improve procurement and ease replacement of NUS modules will be developed. The event had no effect on public health and safety.,['10 CFR 50.73(a)(2)(iv)(A)']
"On September 7, 2012, Technical Specification (TS) 3.8.7 Condition A was entered for an inoperable 22 Static Inverter (SI) after the 22 SI swapped to its alternate power source. Troubleshooting determined the SI frequency meter optical sensor light was out. Tapping on the meter resulted in the frequency meter light illuminating, allowing SI to sense that the correct frequency was present. After testing, operations transferred the 22 SI back to its normal power supply and exited TS 3.8.7. On September 10, 2012, operability of the 22 SI was questioned concerning the 22 SI seismic qualification. Because the cause of the failure of the frequency meter could not be determined, operations concluded there was no reasonable assurance that the 22 SI would be able to maintain its design function in the event of a seismic event and the 22 SI was declared inoperable. TS 3.8.7 was entered, the meter was replaced, and the 22 SI returned to its normal power supply. The apparent cause was inadequate use of human performance (HP) tools. Shift management did not effectively use questioning attitude. The Operations team level of knowledge on the operation of the optical sensor was insufficient to assess the seismic effect on its operation. Corrective actions included replacement of the 22 SI frequency meter, inclusion of event in operations training, and update of vendor manual on meter function. The System Description for electrical systems will be revised to include a discussion of SI frequency meter optical sensor, a Temp Mod had been installed for the 24 SI and was issued for the 21-23 SIs to bypass the out of frequency transfer. A mod will be prepared to replace the meters with a model that does not include transfer on out of frequency. An equipment failure analysis will be performed to determine the cause of the failure of the 22 SI frequency meter photocell LED. The event had no significant effect on public health and safety.",['10 CFR 50.73(a)(2)(i)(B)']
"On May 17  2018  at 11:15 Central Daylight Time (CDT)  with Unit 2 in Mode 1 at 100% power  the station experienced an auto-start of Emergency Diesel Generator (EDG)  D5. The Bus 25 Potential Transformer fuse drawer was opened by a supplemental worker  causing Breaker 25-16 to open and de-energize Bus 25. Operators were able to manually close the EDG D5 output breaker to re- energize Bus 25. All equipment functioned as designed. EDG D5 was restored to a normal condition on May 17  2018  at 16:44. The Root Cause for this event was that Prairie Island Open Phase Project was inadequately challenged to recognize and understand the risk associated with transitioning work activities from the 2R30 Outage to the Online schedule. Corrective Actions  include Revising the ""Online Scheduling Procedure"" to include a requirement for a challenge board to be held for Outage to Online decisions involving Modifications. Labeling PT drawers with equipment ID and locking device and caution to instruct operator approval prior to opening drawer and contain a physical barrier such as a lock or zip tie to discourage opening.",['10 CFR 50.73(a)(2)(iv)(A)']
On April 7  2016 at 0638 hours  with Surry Power Station Units 1 and 2 operating at 100% power  the Emergency Service Water Pump (ESWP) 1B cooling water discharge valve flange was found to be cracked  and the pump was declared inoperable. During flange and valve support repair activities  four bolts on the cooling water discharge valve support base plate were found to be failed due to corrosion. The flange was replaced and the support base plates were anchored with stainless steel bolts. ESWP 1B was returned to operable status on April 9  2016 at 1105 hours. The cause of the flange and support failure was corrosion of the base plate and anchor bolts from repetitive exposure to service water. On May 11  2016  an Engineering evaluation determined that the piping and support had been non-functional for prior operability based on the potential for lateral displacement during a seismic event. Therefore  this report is being submitted for operations prohibited by Technical Specifications  and an event or condition that could have prevented the fulfillment of the safety function of structures or systems that are needed to remove residual heat. Based on the risk assessment of this event  the risk impact was determined to be of very low significance  and  as a result  the health and safety of the public were not affected.,"['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(B)']"
"On September 26, 2022, operators at the Susquehanna Steam Electric Station performed quarterly stroke time testing of Unit 2 Emergency Service Water (ESW) to Turbine Building Closed Cooling Water and ESW to Reactor Building Closed Cooling Water isolation valves. Performance of this surveillance results in the inoperability of Unit 2 Division 2 of the Core Spray system. This surveillance was performed while Unit 2 Division 1 of the Core Spray system was out of service for planned maintenance, resulting in both divisions of the Core Spray system being inoperable and a loss of safety function. The condition was identified during the subsequent shift while performing routine review of operator logs. The cause of the event was determined to be inadequate performance of a loss of safety function determination, which failed to identify a loss of safety function resulting from concurrent inoperability of both divisions of Core Spray. This cause was attributed to human performance. There were no actual consequences to the health and safety of the public as a result of this event.",['10 CFR 50.73(a)(2)(v)(D)']
"On October 19, 2013 at approximately 0645 Eastern Daylight Time (EDT), Vogtle Unit 2 was operating in Mode 1 at 100% power. The main generator excitation system experienced a failure which tripped the Main Generator which subsequently tripped the Turbine and Reactor. The Reactor Trip System, the Engineered Safety Feature Actuation System, and other responding equipment performed as expected. The plant was stabilized in Mode 3. The cause of the event was a failure of the Main Generator excitation system. The safety significance of this event is very low. Unit 1 was not affected and there were no adverse effects on the health and safety of the public.",['10 CFR 50.73(a)(2)(iv)(A)']
"While Unit 2 was in a refueling outage on April 1  2014  manual ultrasonic (UT) examinations identified indications on Safety Injection (NI) system piping. On April 3  2014  phased-array UT techniques confirmed one indication as a rejectable flaw. Because the flaw was rejectable under American Society of Mechanical Engineers (ASME) Code requirements  it is reportable as a degraded condition. Stress analysis showed that the crack would not have prevented the piping from performing its safety function, so this event did not impact public health and safety. The preliminary cause of the flaw is a legacy issue of previous leakage past valve 2NI-3 (Unit 2 Cold Leg Injection Isolation) creating a high frequency thermal cycle condition. This condition initiated the fatigue crack identified during the UT examination. Additionally  this flaw was missed during the previous refueling outage as a result of a probable skill-based human performance error. Actions were taken to repair the NI piping on Unit 2 and to re-inspect other susceptible lines before the unit restarted from its refueling outage. Based on an extent of condition evaluation, a reasonable assurance of operability exists for similar Unit 1 configurations. The LER will be supplemented upon finalization of the cause analysis.",['10 CFR 50.73(a)(2)(ii)(A)']
"On October 3, 2020, Point Beach Unit 1 was shut down for refueling outage U1R39. At 0913 hours while performing inspections during the MODE 3 descending walkdown, a through-weld leak was identified on the steam generator (SG) 1B channelhead drain line at the drain isolation valve weld. The cause of the condition was high cycle fatigue that initiated from a small weld defect at the root of the socket fillet weld. Corrective actions included the removal of the weld defect and the drain valve and installing a cap on the SG channelhead drain line 1B.",['10 CFR 50.73(a)(2)(i)(B)']
On Friday February 8  2013  at 2117 hours with the reactor initially at 85% core thermal power  Pilgrim Nuclear Power Station (PNPS) experienced a loss of off-site power (LOOP) resulting in a load reject and a reactor scram. All rods fully inserted and the Emergency Diesel Generators automatically started and powered safety-related buses A5 and A6. All other safety systems functioned as required. The plant stabilized in Hot Shutdown. At the time of the event a significant winter storm (Nemo) was buffeting Southern New England. At 2200 hours PNPS in conjunction with the local grid operator determined off-site power sources were not reliable and efforts to restore off-site power were temporarily suspended. At 2200 hours  PNPS declared a Notification of Unusual Event. On February 10  at 1055 hours  one of two off-site power supplies was restored  all safety buses were powered from the startup transformer and the Unusual Event was exited. Later on February 10  at 1402 hours with the plant in Cold Shutdown  ice bridging on a startup transformer insulator caused its 345 KV supply breaker to open resulting in a second LOOP. Again the EDG's started and powered safety-related buses. All other safety systems functioned as required. Shutdown cooling was restored at 1426 hours. On February 10  at 2020 hours  this occurrence was reported to the USNRC as documented in EN# 48739. The severe winter storm which caused extensive generalized geographical damage to the electrical distribution network was root cause of the LOOP events. These events posed no threat to public health and safety.,"['10 CFR 50.73(a)(2)(iv)(A)', '10 CFR 50.73(a)(2)(v)(B)']"
On 1/1/2019 while performing planned maintenance on the Feedwater Distributed Control System (FW DCS) at 5 percent power it was discovered that the automatic trip instrumentation of the Gland Seal Exhauster (GSE) was inoperable. The automatic GSE trip function is a documented assumption in the safety analysis for the Control Rod Drop Accident and is required by Technical Specification (TS) 3.3.7.3 when reactor thermal power is less than or equal to 10 percent. The automatic trip function of the GSE was inoperable for 1 minute 19 seconds. The impact on the GSE trip function during implementation of the site procedures and the applicable work order was inadequately documented prior to starting the planned maintenance on the FW DCS. There was no adverse impact to public health and safety or to plant employees and there were no radiological releases. The cause of the GSE trip inoperability resulted from inadequate procedural guidance during planned maintenance on the FW DCS. GSE trip operability was restored automatically by FW DCS without any required actions. Site procedures were revised on or before January 11 2019 to describe the impact of the FW DCS on the GSE trip and reference the applicable TS.,"['10 CFR 50.73(a)(2)(v)(C)', '10 CFR 50.73(a)(2)(v)(D)']"
Unit 1 reactor enclosure secondary containment integrity was briefly declared inoperable when both doors on a reactor enclosure 201' elevation pipe tunnel airlock were simultaneously opened. The cause of the event was a degraded closing mechanism on the airlock inboard door. The airlock doors were closed to restore reactor enclosure secondary containment integrity. The degraded inboard door closing mechanism was repaired.,['10 CFR 50.73(a)(2)(v)(C)']
